iter	RMSE
1349	0.5054484888
1350	0.5054409345
1351	0.5054363519
1352	0.5054326122
1353	0.5054249569
1354	0.5054191739
1355	0.5054133103
1356	0.5054102909
1357	0.5054078956
1358	0.5054046812
1359	0.5053998731
1360	0.5053946431
1361	0.5053916118
1362	0.5053893429
1363	0.5053836694
1364	0.505381213
1365	0.5053772642
1366	0.505373347
1367	0.5053679329
1368	0.5053654019
1369	0.5053617988
1370	0.5053597242
1371	0.5053551863
1372	0.5053492518
1373	0.5053462214
1374	0.5053426396
1375	0.5053367333
1376	0.5053321317
1377	0.505328388
1378	0.5053268042
1379	0.5053233939
1380	0.5053191768
1381	0.5053134949
1382	0.5053114419
1383	0.5053071844
1384	0.5053023064
1385	0.505297171
1386	0.5052924126
1387	0.5052898102
1388	0.5052873521
1389	0.5052834211
1390	0.5052795444
1391	0.5052776076
1392	0.5052756103
1393	0.5052707124
1394	0.5052665135
1395	0.5052588462
1396	0.5052546027
1397	0.505251329
1398	0.5052479775
1399	0.5052432282
1400	0.5052373185
1401	0.5052323429
1402	0.5052263578
1403	0.505222789
1404	0.5052174831
1405	0.5052144576
1406	0.5052104503
1407	0.5052077612
1408	0.5052033492
1409	0.5052007133
1410	0.5051967658
1411	0.50519526
1412	0.5051931318
1413	0.5051867023
1414	0.5051819821
1415	0.505176704
1416	0.5051709648
1417	0.5051669786
1418	0.5051619618
1419	0.5051588795
1420	0.5051530398
1421	0.5051480942
1422	0.5051432227
1423	0.5051387351
1424	0.5051347347
1425	0.5051294836
1426	0.505125463
1427	0.5051235981
1428	0.5051192076
1429	0.5051135881
1430	0.5051100056
1431	0.5051066208
1432	0.5051015586
1433	0.5050968571
1434	0.5050917592
1435	0.5050871363
1436	0.5050840446
1437	0.5050800048
1438	0.5050783871
1439	0.5050737312
1440	0.505069939
1441	0.5050670003
1442	0.5050635469
1443	0.5050579282
1444	0.5050553407
1445	0.5050527461
1446	0.5050467707
1447	0.5050417572
1448	0.5050385511
1449	0.5050357229
1450	0.5050323137
1451	0.505027378
1452	0.5050237379
1453	0.5050193713
1454	0.5050149762
1455	0.5050094867
1456	0.5050050773
1457	0.5050015847
1458	0.5049969289
1459	0.5049926779
1460	0.5049896146
1461	0.5049857453
1462	0.5049833217
1463	0.5049810406
1464	0.5049764955
1465	0.5049716608
1466	0.5049658673
1467	0.5049627178
1468	0.5049576077
1469	0.5049544126
1470	0.504947744
1471	0.5049438655
1472	0.5049387961
1473	0.5049355146
1474	0.5049335721
1475	0.5049321112
1476	0.5049281249
1477	0.5049243942
1478	0.5049181631
1479	0.5049145101
1480	0.5049096431
1481	0.5049081398
1482	0.5049041327
1483	0.5049005209
1484	0.5048967616
1485	0.5048895968
1486	0.5048880451
1487	0.5048838799
1488	0.5048808732
1489	0.5048779488
1490	0.50487231
1491	0.5048694497
1492	0.5048641299
1493	0.5048622324
1494	0.504858247
1495	0.5048562855
1496	0.5048512507
1497	0.5048467893
1498	0.5048423242
1499	0.5048391503
1500	0.5048365054
1501	0.5048331013
1502	0.5048285535
1503	0.5048259092
1504	0.5048223437
1505	0.5048197213
1506	0.5048134829
1507	0.5048087591
1508	0.5048031914
